,A,B,C,D
758,0,0,1,1
759,1,1,1,1
760,1,1,0,0
761,0,1,0,1
762,0,0,1,1
763,0,0,1,1
764,0,1,0,1
765,0,0,0,0
766,1,1,0,0
767,1,1,0,1
768,1,0,1,1
769,1,0,0,1
770,1,1,0,0
771,0,1,1,1
772,0,1,1,1
773,0,0,0,0
774,1,1,1,1
775,1,0,0,1
776,0,0,0,1
777,1,1,0,1
778,1,1,1,1
779,1,0,1,1
780,0,0,1,1
781,0,0,1,1
782,1,0,0,1
783,0,0,1,1
784,0,1,0,0
785,1,0,1,1
786,0,0,1,1
787,0,0,1,1
788,0,1,1,0
789,0,1,0,1
790,1,0,1,1
791,1,1,0,1
792,0,1,0,1
793,0,1,0,1
794,1,0,1,1
795,1,1,1,1
796,0,1,1,1
797,0,0,1,1
798,0,1,1,1
799,1,0,0,1
800,0,1,1,0
801,0,0,0,1
802,0,1,1,1
803,0,1,0,1
804,0,1,1,1
805,1,1,0,1
806,1,1,0,1
807,0,0,1,1
808,1,0,1,1
809,0,1,0,0
810,0,0,1,1
811,1,0,0,0
812,1,0,1,1
813,0,1,1,1
814,0,1,0,1
815,1,1,1,1
816,1,1,1,1
817,0,0,0,0
818,1,0,1,1
819,0,0,0,0
820,0,1,1,1
821,0,1,1,1
822,0,1,0,1
823,0,1,0,0
824,0,0,1,1
825,1,0,0,0
826,1,1,1,1
827,0,1,0,0
828,0,1,1,1
829,0,0,0,0
830,0,0,1,1
831,0,0,1,1
832,1,0,1,1
833,1,1,1,1
834,1,1,0,0
835,1,1,1,1
836,0,0,1,1
837,0,1,1,1
838,0,0,1,1
839,0,1,0,1
840,0,0,1,1
841,0,0,1,1
842,0,1,1,1
843,1,0,0,0
844,1,1,0,0
845,1,1,0,0
846,1,1,1,1
847,1,0,1,1
848,0,0,1,1
849,0,0,1,1
850,0,0,1,1
851,0,1,0,1
852,0,1,0,0
853,1,0,0,0
854,1,0,1,1
855,0,0,0,1
856,1,1,1,1
857,0,0,0,0
858,0,1,1,1
859,1,0,1,1
860,0,0,0,0
861,0,1,0,0
862,0,0,1,1
863,1,0,0,1
864,1,1,0,1
865,0,0,1,1
866,0,0,1,1
867,1,0,1,1
868,0,1,0,1
869,1,1,0,0
870,0,0,0,1
871,0,1,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,1
875,0,0,0,0
876,0,1,1,1
877,1,1,0,1
878,0,0,0,0
879,0,0,0,1
880,1,1,1,1
881,1,0,1,1
882,1,1,1,1
883,0,1,1,1
884,1,0,0,0
885,1,0,0,0
886,0,0,0,1
887,1,0,1,1
888,0,0,1,1
889,0,0,0,1
890,1,0,0,1
891,1,1,0,0
892,1,0,0,1
893,1,1,0,1
894,1,0,0,1
895,0,1,1,1
896,1,0,1,1
897,1,0,0,0
898,1,1,0,0
899,1,0,1,1
900,1,1,1,1
901,1,1,0,1
902,0,0,1,1
903,0,1,1,1
904,0,1,0,1
905,1,1,1,1
906,1,1,1,1
907,1,0,1,1
908,1,1,0,1
909,0,0,0,1
910,1,0,0,0
911,1,1,0,1
912,0,1,0,1
913,0,0,1,1
914,1,0,1,1
915,0,1,1,0
916,1,0,1,1
917,0,0,0,0
918,1,0,0,1
919,1,0,1,1
920,0,1,1,1
921,0,1,0,1
922,1,1,0,1
923,0,1,0,0
924,0,1,1,1
925,0,1,0,1
926,1,1,0,1
927,1,0,1,1
928,0,0,0,0
929,1,1,1,1
930,0,0,0,1
931,1,0,0,1
932,0,1,1,1
933,1,1,1,1
934,0,0,1,1
935,0,0,0,1
936,0,1,0,1
937,1,1,0,0
938,1,1,1,1
939,0,0,1,1
940,0,0,0,1
941,1,1,0,1
942,1,0,1,1
943,0,1,0,0
944,1,1,0,1
945,0,1,1,1
946,1,1,1,1
947,1,0,0,1
948,1,0,0,1
949,1,0,1,1
950,1,1,1,1
951,0,0,1,1
952,1,1,1,1
953,0,0,0,1
954,1,1,0,0
955,0,0,1,1
956,0,0,0,1
957,1,0,0,0
958,1,1,0,0
959,0,0,0,0
960,0,0,1,1
961,1,0,1,1
962,0,1,0,1
963,0,1,0,0
964,1,0,0,1
965,0,1,0,1
966,1,1,1,1
967,1,0,1,1
968,0,0,1,1
969,0,1,0,0
970,1,0,1,0
971,1,1,0,1
972,1,0,0,1
973,1,0,1,1
974,1,0,1,1
975,1,1,0,1
976,1,0,1,1
977,0,1,0,0
978,1,1,1,1
979,0,1,1,1
980,0,1,0,1
981,1,0,1,1
982,0,0,0,0
983,1,0,0,0
984,0,1,0,1
985,0,1,1,1
986,0,1,0,0
987,0,1,1,1
988,0,0,0,1
989,1,1,1,1
990,1,0,1,1
991,1,1,1,1
992,1,0,1,1
993,0,0,1,1
994,0,0,1,1
995,1,1,0,1
996,0,0,1,1
997,0,1,1,1
998,0,1,0,1
999,0,1,0,0
1000,0,1,1,1
1001,0,1,1,0
1002,1,1,0,0
1003,1,0,1,1
1004,0,0,1,1
1005,1,1,1,1
1006,1,1,1,1
1007,0,1,1,1
1008,1,0,0,1
1009,1,0,1,1
1010,1,0,0,1
1011,0,1,1,1
1012,1,1,0,1
1013,0,1,1,1
1014,1,1,1,1
1015,1,0,1,1
1016,0,0,0,1
1017,0,1,1,1
1018,0,1,0,1
1019,1,0,0,1
1020,1,1,1,1
1021,0,0,1,1
1022,1,1,1,1
1023,1,0,0,1
1024,1,1,1,1
1025,0,0,0,1
1026,1,1,0,0
1027,1,0,1,1
1028,0,1,1,1
1029,1,1,1,1
1030,1,0,1,1
1031,1,1,0,0
1032,1,1,1,1
1033,0,1,0,1
1034,0,1,1,1
1035,0,0,1,1
1036,1,0,1,0
1037,0,1,0,0
1038,0,0,0,1
1039,1,0,1,1
1040,1,0,0,0
1041,1,0,1,1
1042,1,1,0,1
1043,1,0,0,1
1044,0,0,0,1
1045,0,1,0,1
1046,1,0,1,1
1047,1,0,0,0
1048,0,0,0,1
1049,0,1,1,1
1050,1,0,1,1
1051,0,1,0,0
1052,1,1,0,1
1053,1,1,1,1
1054,0,0,0,1
1055,0,0,1,1
1056,0,0,0,0
1057,0,1,0,1
1058,1,0,1,1
1059,1,0,1,1
1060,1,0,1,1
1061,0,0,1,1
1062,1,1,0,0
1063,1,1,1,1
1064,1,0,0,1
1065,0,1,1,1
1066,0,1,1,1
1067,0,0,0,1
1068,0,1,0,0
1069,1,1,0,1
1070,0,1,0,0
1071,0,0,1,1
1072,0,1,1,1
1073,0,1,1,1
1074,0,1,0,0
1075,1,0,0,0
1076,0,1,0,0
1077,1,1,0,0
1078,0,1,1,1
1079,1,1,1,1
1080,1,0,0,1
1081,0,1,0,0
1082,1,0,0,1
1083,0,1,0,1
1084,0,1,0,0
1085,1,1,1,1
1086,0,1,1,1
1087,0,0,0,0
1088,1,0,0,1
1089,1,1,0,1
1090,1,1,0,1
1091,0,1,1,1
1092,1,0,0,1
1093,0,0,0,1
1094,0,0,1,1
1095,1,0,1,1
1096,1,1,0,1
1097,0,0,1,1
1098,1,1,1,1
1099,0,1,0,1
1100,0,1,1,1
1101,0,1,1,1
1102,0,1,0,1
1103,1,0,0,1
1104,0,0,0,0
1105,1,0,0,1
1106,0,0,0,1
1107,0,1,1,1
1108,1,1,0,0
1109,0,0,0,1
1110,0,0,0,1
1111,1,0,1,1
1112,1,0,0,1
1113,1,1,0,1
1114,0,1,1,0
1115,1,0,1,1
1116,1,1,0,1
1117,0,0,0,0
1118,1,1,0,1
1119,1,0,0,1
1120,0,1,0,0
1121,1,1,0,0
1122,0,1,0,0
1123,0,0,1,1
1124,1,0,1,1
1125,1,1,1,1
1126,0,0,1,1
1127,1,1,0,0
1128,0,1,0,1
1129,1,1,0,1
1130,1,0,0,1
1131,1,0,1,1
1132,0,1,0,1
1133,0,0,0,0
1134,0,1,0,1
1135,0,1,1,0
1136,1,1,0,0
1137,1,1,0,1
1138,1,1,0,1
1139,1,0,0,1
1140,0,1,1,1
1141,1,0,1,1
1142,0,1,0,1
1143,0,1,0,1
1144,1,1,0,1
1145,1,0,0,1
1146,0,0,1,1
1147,1,1,1,1
1148,0,0,1,1
1149,1,1,0,1
1150,1,1,1,1
1151,1,1,0,0
1152,1,1,0,1
1153,0,1,1,1
1154,0,1,1,1
1155,0,0,1,1
1156,0,0,0,1
1157,1,1,1,1
1158,0,0,0,1
1159,1,1,1,1
1160,1,0,0,1
1161,1,1,1,1
1162,0,1,0,1
1163,1,0,0,1
1164,0,1,0,1
1165,0,1,1,1
1166,0,1,1,1
1167,0,1,1,1
1168,0,1,0,1
1169,0,1,0,0
1170,0,0,1,1
1171,0,0,0,0
1172,0,1,0,0
1173,1,1,1,1
1174,1,1,0,0
1175,1,1,0,0
1176,0,1,1,1
1177,0,1,1,1
1178,1,0,0,0
1179,1,0,1,1
1180,1,1,0,1
1181,0,1,0,1
1182,0,1,1,1
1183,0,1,0,0
1184,0,0,1,1
1185,0,0,1,1
1186,0,0,1,0
1187,0,1,0,1
1188,0,0,0,1
1189,1,1,0,1
1190,0,1,0,0
1191,0,0,1,1
1192,0,0,0,0
1193,0,0,1,1
1194,0,1,1,1
1195,1,1,1,1
1196,0,0,1,1
1197,1,0,0,1
1198,1,0,0,1
1199,1,1,1,1
1200,0,1,1,1
1201,1,1,0,1
1202,1,0,0,0
1203,0,1,1,1
1204,1,0,0,0
1205,1,0,1,1
1206,0,0,1,1
1207,0,0,0,0
1208,0,1,0,1
1209,0,1,1,1
1210,0,1,1,1
1211,0,1,0,0
1212,1,1,0,1
1213,1,0,1,1
1214,1,1,1,1
1215,1,0,1,1
1216,1,1,1,1
1217,0,0,1,1
1218,1,1,0,0
1219,1,1,0,0
1220,0,1,1,1
1221,0,1,1,0
1222,0,1,0,0
1223,1,0,1,1
1224,1,1,0,1
1225,1,0,1,1
1226,1,1,1,0
1227,1,0,1,1
1228,0,1,0,0
1229,0,1,1,1
1230,0,1,1,1
1231,0,1,0,0
1232,1,1,1,1
1233,1,0,1,1
1234,1,1,0,1
1235,0,1,1,1
1236,0,0,1,1
1237,1,1,1,1
1238,0,1,0,0
1239,0,1,1,1
1240,1,0,1,1
1241,0,0,1,1
1242,0,0,0,0
1243,1,1,0,0
1244,0,0,0,1
1245,1,1,0,0
1246,0,0,0,0
1247,0,0,0,1
1248,0,0,1,0
1249,0,0,0,1
1250,0,1,0,0
1251,1,0,0,1
1252,0,0,1,1
1253,0,0,1,1
1254,1,0,0,1
1255,1,0,0,1
1256,1,1,0,0
1257,0,1,1,1
1258,0,0,0,1
1259,0,0,1,1
1260,1,1,1,1
1261,0,1,1,1
1262,1,0,1,1
1263,0,0,1,1
1264,0,1,1,1
1265,1,1,0,0
1266,0,1,1,1
1267,0,0,0,1
1268,0,0,1,1
1269,0,0,1,1
1270,0,1,1,1
1271,0,0,1,1
1272,0,1,1,1
1273,1,1,1,1
1274,0,1,1,1
1275,1,0,1,1
1276,1,1,0,1
1277,1,1,1,1
1278,0,1,1,1
1279,0,1,1,1
1280,1,0,0,1
1281,0,0,1,1
1282,1,1,1,1
1283,1,1,1,1
1284,0,1,0,1
1285,0,0,1,1
1286,1,1,0,1
1287,1,0,1,1
1288,0,0,0,0
1289,0,0,0,0
1290,1,1,0,1
1291,0,1,0,1
1292,1,1,1,1
1293,1,1,0,1
1294,0,1,0,0
1295,1,0,0,0
1296,0,0,0,1
1297,1,0,0,1
1298,1,1,0,1
1299,0,1,0,1
1300,0,0,0,1
1301,1,0,1,1
1302,0,0,1,1
1303,1,0,1,1
1304,0,1,1,1
1305,0,0,0,1
1306,0,0,0,1
1307,1,1,1,1
1308,0,1,0,1
1309,0,1,1,1
1310,1,0,1,1
1311,0,0,0,1
1312,0,0,1,0
1313,0,0,0,1
1314,0,1,0,1
1315,1,0,1,0
1316,0,1,1,0
1317,1,1,0,0
1318,1,0,0,1
1319,0,0,0,0
1320,1,1,0,1
1321,1,1,0,0
1322,0,0,1,1
1323,1,1,0,1
1324,1,0,0,0
1325,1,0,1,1
1326,1,1,0,0
1327,0,1,0,0
1328,1,0,1,1
1329,0,0,0,1
1330,1,1,1,1
1331,1,0,0,1
1332,0,1,0,0
1333,0,0,0,1
1334,0,0,0,1
1335,1,1,1,1
1336,0,0,0,0
1337,1,1,0,1
1338,1,1,0,1
1339,0,0,0,0
1340,1,0,0,1
1341,0,0,1,1
1342,1,1,0,1
1343,0,1,0,1
1344,1,1,1,1
1345,1,0,1,1
1346,1,1,0,1
1347,1,1,1,1
1348,1,0,1,1
1349,1,1,1,1
1350,0,0,1,1
1351,1,1,1,1
1352,1,0,1,1
1353,1,0,0,1
1354,0,1,1,1
1355,0,0,0,1
1356,0,0,1,1
1357,0,0,0,1
1358,1,1,0,0
1359,1,0,0,1
1360,0,1,1,1
1361,0,1,1,1
